Region,District,Chiefdom,Section,wp name,wp type,wp_func,wp_susta,wp_suita,ownership,maintenance,WASH comm,decl_ODF,extrac_type,time_repair,chlorination,maint_con
North,Koinadugu,Sengbe,Dankawalie,Tarawalia Street water well,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,Over a week,Yes,WASH management committee
North,Tonkolili,Yoni,mile 91,community,private tap,Functional in use,Always water,Yes,Community,SALWACO,No,No,,never broken,,SALWACO
North,Port Loko,Buya Romende,Robonka,Robonka  Lower Community water Point,protec dug_well,Functional NOT in use,Seasonal,Yes,Community,Chief and Community elders,Yes,Yes,Hand pump,Over a month,Yes,other
North,Bombali,Bombali Sebora,Makump Doron,SALWACO community well,borewell,Broken down,Always water,Yes,Community,WASH management committee,Yes,Yes,Hand pump,never broken,No,WASH management committee
North,Bombali,Sella Limba,Kapothon Limba,Kapothon Community Well.,protec dug_well,Functional in use,Always water,Yes,Community,NGO,Yes,Yes,Hand pump,Over a month,No,NGO
North,Kambia,Magbema,Watetloo rokuprr,Hand pump,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,I don't know,Yes,WASH management committee
North,Koinadugu,Kasunko,Kamayabereh,Kamayabereh water well,protec dug_well,Functional but damaged,Always water,Yes,Community,No management,Yes,No,Hand pump,More than a year,Yes,No management
North,Tonkolili,Kholifa Rowala,Mafanta,Mafanta community,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,Don't know,Hand pump,I don't know,Yes,WASH management committee
North,Koinadugu,Nieni,Safinya,Hand dug well,protec dug_well,Functional NOT in use,Always water,Yes,School,School,No,No,Hand pump,never broken,Yes,School
North,Tonkolili,Malal Mara,Marockie,Panahouse,protec dug_well,Functional in use,Always water,Yes,Community,No management,No,Don't know,Hand pump,never broken,No,No management
North,Port Loko,Dibia,Rogballan,Health centre,protec dug_well,Functional in use,Seasonal,Yes,Health Facility,Health Facility,No,No,Hand pump,never broken,Yes,Health Facility
North,Koinadugu,Sulima,Kankabu,Kankabu community well,protec dug_well,Functional in use,Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,More than a year,No,WASH management committee
North,Bombali,Makari Gbanti,Makama bana,Community well,protec dug_well,under rehabilitation,Seasonal,Yes,Community,PLAN,No,No,Hand pump,Over a month,No,other
North,Port Loko,Bureh Kasseh Makonteh,Mange Bureh,Mange Bureh CHC Water Point,protec dug_well,Functional in use,Seasonal,Yes,Health Facility,WASH management committee,Yes,Yes,Hand pump,More than a year,Yes,WASH management committee
North,Port Loko,Marampa,Lower One mile Lunsar,one milater point,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,Less than a week,Yes,other
North,Koinadugu,Mongo,Gbongbodor,Hand dug well,protec dug_well,Broken down,Always water,Yes,School,Other community group,No,No,Hand pump,Over a month,No,other
North,Koinadugu,Dembelia-Sinkunia,Foraia Musaia,DEC primary school,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,I don't know,No,other
North,Koinadugu,Mongo,Gbenikoro,Hand dug well,protec dug_well,Broken down,Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,More than a year,No,WASH management committee
North,Koinadugu,Dembelia-Sinkunia,Ibiya,community well,protec dug_well,Functional in use,Dry always / Never water,Yes,Community,Other community group,No,No,Hand pump,Over a month,Yes,other
North,Port Loko,Kaffu Bullom,Robis,community well,protec dug_well,Functional in use,Always water,Yes,Community,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",never broken,Yes,other
North,Port Loko,Lokomasama,Kalangba junction,Market well,protec dug_well,Functional NOT in use,Seasonal,Yes,Other Institution,Other Institution,Yes,Yes,Hand pump,More than a year,No,Other Institution
North,Koinadugu,Dembelia-Sinkunia,Gbindi,Saluya,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,Yes,No,Hand pump,never broken,Yes,other
North,Port Loko,Lokomasama,Kargblor,Community well,protec dug_well,Functional NOT in use,Always water,Yes,Community,Other community group,No,Yes,Hand pump,More than a year,No,other
North,Port Loko,,Gbonbana,Community Well,spring_protec,Functional but damaged,Seasonal,Yes,Community,WASH management committee,Yes,Yes,,Over a month,,WASH management committee
North,Port Loko,TMS,Konikay,Yusifu Kaloko,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,Yes,Yes,Hand pump,More than a year,No,other
North,Kambia,Samu,kollya,School Pump,protec dug_well,Broken down,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,Less than a week,No,WASH management committee
North,Koinadugu,Nieni,Funumbakura,Stand pipe,public tap/kiosk,Functional but damaged,Seasonal,Yes,Community,Other community group,Yes,No,Gravity,Over a week,,other
North,Port Loko,Masimera,Rowal Bana,Rowal Bana,protec dug_well,Functional in use,Always water,Yes,Community,Uknown,No,No,Hand pump,I don't know,No,Uknown
North,Koinadugu, Wara Wara Yagala,Kabala,child fund water point,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,More than a year,No,other
North,Bombali,Tambakha,Sanya,Sanya Community Well,protec dug_well,Functional in use,Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,Over a month,No,WASH management committee
North,Koinadugu,Dembelia-Sinkunia,Sinkunia,Kabaya water point,borewell,under rehabilitation,Dry always / Never water,No,Community,SALWACO,Yes,No,"Hand manual (e.g. rope pump, rope & bucket)",never broken,No,SALWACO
North,Port Loko,Masimera,Roballan,Robalan,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,Over a month,Yes,WASH management committee
North,Bombali,Biriwa,Bumban,Bumban Tap,public tap/kiosk,Functional in use,Always water,Yes,Community,WASH management committee,Yes,No,Gravity,never broken,,WASH management committee
North,Bombali,Gbendembu Ngowahun,Kotohun,Don sai,borewell,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,never broken,Yes,WASH management committee
North,Port Loko,Dibia,Maforay,Community well,unprotec dug_well,under construction,Dry always / Never water,No,Community,Other community group,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",More than a year,No,other
North,Port Loko,Bureh Kasseh Makonteh,Rogballan Kasseh,Rogballan Kasseh,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,Over a week,Yes,WASH management committee
North,Tonkolili,Kholifa Rowala,Magbontho,Ibrahim Koroma Protected Well,protec dug_well,under construction,Seasonal,Yes,Community,Other community group,No,Don't know,"Hand manual (e.g. rope pump, rope & bucket)",I don't know,No,other
North,Port Loko,Buya Romende,Makinkaba,By  Pa Momoh kamara Resident,protec dug_well,Functional in use,Always water,Yes,Community,community people,Yes,No,Hand pump,Over a week,No,Community
North,Koinadugu,Mongo,Kombeli,Hand dug well,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,Less than a week,No,WASH management committee
North,Port Loko,Lokomasama,Kambia Worreh,Alimamy Bakarr,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,No,Yes,Hand pump,More than a year,No,other
North,,,Masingbi,SLMB primary school,borewell,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,Over a week,Yes,WASH management committee
North,Tonkolili,,mabbakoh,mosque,borewell,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,Over a month,Yes,WASH management committee
North,Koinadugu,Mongo,Kamaron,Hand dug well,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,Over a month,Yes,WASH management committee
North,Port Loko,Marampa,mawullay,mawullaycommunity water point,protec dug_well,Functional in use,Always water,Yes,Community,community people,No,Yes,Hand pump,never broken,No,Community
North,Port Loko,Buya Romende,Manumtheneh,Alhadi Islamic Primary school,protec dug_well,Broken down,Seasonal,Yes,School,WASH management committee,Yes,No,Hand pump,More than a year,Yes,WASH management committee
North,Port Loko,Masimera,RC Primary School,Konta Kuma,protec dug_well,Functional in use,Always water,Yes,School,WASH management committee,Yes,Don't know,Hand pump,never broken,Yes,WASH management committee
North,Bombali,Sanda Tendaran,Rogboreh village,Amodu falilu comunity well,protec dug_well,Functional in use,Always water,Yes,Community,action aid,Yes,No,Hand pump,More than a year,Yes,other
North,Port Loko,Kaffu Bullom,Kamem town,Mosque,protec dug_well,Functional in use,Always water,Yes,Other Institution,Other community group,Yes,Yes,Hand pump,never broken,Yes,other
North,Port Loko,Kaffu Bullom,Rotifunk,private well,protec dug_well,Broken down,Seasonal,Yes,Private Individual,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",I don't know,Yes,other
North,Bombali,Safroko Limba,Binkolo,WC Sierra Leone  Binkolo,protec dug_well,Functional in use,Seasonal,Yes,School,School,Unknown,Yes,Hand pump,Over a month,Yes,School
North,Koinadugu,Neya,Kunia,Running Stream,surface_water,Functional but damaged,Always water,Yes,Community,Other community group,No,No,,,,other
North,Bombali,Tambakha,Samaia,Samaia Community Tap,gravity_scheme,under construction,Always water,No,Community,No management,No,No,Submersible pump,never broken,No,No management
North,Koinadugu,Nieni,yinffin,Stand pipe,public tap/kiosk,Broken down,Dry always / Never water,No,School,School,No,No,Gravity,More than a year,,School
North,Port Loko,Buya Romende,Mabassie,Mabassie Community Water Point,protec dug_well,Functional in use,Seasonal,Yes,Community,Community leaders,No,No,Hand pump,More than a year,No,other
North,Port Loko,Bureh Kasseh Makonteh,Mange,Mange Morie Manbolo Road,protec dug_well,Broken down,Always water,Yes,Community,NGO,Yes,Yes,Hand pump,I don't know,Unkown,NGO
North,Koinadugu,,Bathmorie - Magburaka,Noaro road,spring_protec,Functional NOT in use,Seasonal,Yes,Community,WASH management committee,Yes,No,,Less than a week,,WASH management committee
North,Koinadugu,Mongo,Tumania,Hand dug well,protec dug_well,Broken down,Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,More than a year,No,WASH management committee
North,Port Loko,Bureh Kasseh Makonteh,Catholic Mission Mange Bureh,RC Primary School Water Point,protec dug_well,Functional in use,Always water,Yes,School,WASH management committee,Yes,Yes,Hand pump,Less than a week,Yes,WASH management committee
North,Koinadugu,Mongo,Tumania,Hand dug well,protec dug_well,Broken down,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,More than a year,No,WASH management committee
North,Bombali,Sella Limba,Kamasoko 1,Bdec Pri Sch well Kamasoko 1,protec dug_well,Functional in use,Seasonal,Yes,School,NGO,Yes,Yes,Hand pump,Over a month,Yes,NGO
North,Koinadugu,Sulima,Koindu Kura,Pa Taili well,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,Yes,No,Hand pump,Over a month,No,other
North,Koinadugu,Diang,Soliya,Stand pipe,gravity_scheme,Functional but damaged,Seasonal,Yes,Community,Other community group,No,No,Gravity,More than a year,No,other
North,Port Loko,Kaffu Bullom,Rotifunk,community well,borewell,Functional in use,Always water,Yes,Community,WASH management committee,Yes,Yes,Hand pump,I don't know,Yes,WASH management committee
North,Port Loko,Kaffu Bullom,Gbanthy,private well,protec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,No,Yes,Hand pump,More than a year,Yes,other
North,Port Loko,Buya Romende,Rogbera,U M C Priimary School,protec dug_well,Functional NOT in use,Seasonal,Yes,School,Uknown,No,No,Hand pump,More than a year,No,Uknown
North,Bombali,Gbendembu Ngowahun,Matehun,Community Well,protec dug_well,Functional but damaged,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,Over a month,No,WASH management committee
North,Koinadugu,Sengbe,Kabala,Musaia road,protec dug_well,Functional in use,Seasonal,Yes,Private Individual,Other community group,No,No,Hand pump,More than a year,Yes,other
North,Bombali,Gbendembu Ngowahun,Mabambaga,Community Well,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,Yes,Yes,Hand pump,never broken,No,other
North,Koinadugu,Neya,Fayimbakondeya,Hand dug well,protec dug_well,Functional in use,Seasonal,Yes,School,School,Yes,No,Hand pump,Over a month,Yes,School
North,Port Loko,Kaffu Bullom,Rotifunk town,community well,protec dug_well,Functional in use,Seasonal,Yes,Private Individual,Privat owner,No,Yes,Hand pump,Over a month,Yes,other
North,Koinadugu,Diang,Dalakuru,Stand pipe,gravity_scheme,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Gravity,Over a month,No,WASH management committee
North,Port Loko,Kaffu Bullom,Rotifunk town,community well,protec dug_well,under construction,Always water,Yes,Private Individual,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",never broken,No,other
North,Koinadugu,Diang,Soliya,Stand pipe,gravity_scheme,Functional but damaged,Seasonal,Yes,Community,Other community group,No,No,Gravity,Over a week,No,other
North,Tonkolili,Kholifa Rowala,magburaka,government  boy school water point,borewell,Functional in use,Always water,Yes,School,School,Yes,No,Hand pump,never broken,No,School
North,Port Loko,Lokomasama,Bakolo,Mosque well,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,No,No,Hand pump,Less than a week,No,other
North,Bombali,Sanda Loko,madina fullah,school well,protec dug_well,Broken down,Dry always / Never water,No,School,School,Yes,No,Hand pump,More than a year,No,School
North,Tonkolili,Yoni,Mile 91,community,borewell,Broken down,Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,More than a year,No,WASH management committee
North,Bombali,Safroko Limba,Kamanka,Kamanka Community Well.2,protec dug_well,Broken down,Seasonal,Yes,Community,Other community group,No,No,Hand pump,More than a year,No,other
North,Bombali,Sella Limba,Kamaban,Kamaban Com Well.,protec dug_well,Functional but damaged,Always water,Yes,Community,NGO,Yes,Yes,Hand pump,Over a week,No,NGO
North,Bombali,Makari Gbanti,Masimera 1,community water well 1,protec dug_well,Functional but damaged,Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,Less than a week,No,WASH management committee
North,Koinadugu,Diang,Kania,Koromator,gravity_scheme,Broken down,Seasonal,Yes,Community,Other community group,No,No,Gravity,I don't know,Unkown,other
North,Koinadugu,Mongo,Tumania,Hand dug well,protec dug_well,Broken down,Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,More than a year,No,WASH management committee
North,Port Loko,Maforki,Rokon,Rokon community water Point,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,No,Yes,Hand pump,Over a month,No,other
North,Port Loko,Marampa,Madibo Section,Fofanah street water well,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,Yes,Yes,Hand pump,never broken,Yes,other
North,Tonkolili,Kholifa Rowala,RC School,RC water point,protec dug_well,Broken down,Seasonal,Yes,School,WASH management committee,Yes,No,Hand pump,Over a month,No,WASH management committee
North,Port Loko,TMS,Mahera,Pa. Abu Sesay Compound,protec dug_well,Functional in use,Always water,Yes,Community,WASH management committee,Yes,Yes,Hand pump,Over a month,Yes,WASH management committee
North,Port Loko,Sanda Magbolont,Komneh,school well,protec dug_well,Functional in use,Seasonal,Yes,School,School,Yes,No,Hand pump,Over a month,Yes,School
North,Port Loko,TMS,Mafofana,Pa. Alusine Kargbo Compound,protec dug_well,Functional NOT in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,never broken,Yes,WASH management committee
North,Port Loko,TMS,Magbapsa,DEC Primary School Pump,protec dug_well,Functional but damaged,Seasonal,Yes,School,WASH management committee,Yes,Yes,Hand pump,More than a year,Yes,WASH management committee
North,Port Loko,Lokomasama,Robombay,Community well,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,Yes,Yes,Hand pump,Over a month,Yes,other
North,Bombali,Biriwa,Seinkunya,Al-hadin Primary School Well,protec dug_well,Functional in use,Seasonal,Yes,School,School,No,No,Hand pump,Over a month,No,School
North,Bombali,Biriwa,Bumban,Bumban Tap,public tap/kiosk,Functional in use,Always water,Yes,Community,WASH management committee,Yes,No,Gravity,Over a week,,WASH management committee
North,Bombali,Gbendembu Ngowahun,Magbana,Community Well,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,No,No,Hand pump,I don't know,No,WASH management committee
North,Koinadugu, Folosaba Dembelia,Hamdallai,Check point water point,protec dug_well,Broken down,Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,I don't know,Unkown,WASH management committee
North,Tonkolili,Kunike Barina,makumbu,makumbu water point,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,never broken,No,WASH management committee
North,Port Loko,Bureh Kasseh Makonteh,Kalangba,Kalangba MCHP water well,protec dug_well,under rehabilitation,Seasonal,Yes,Health Facility,WASH management committee,Yes,Yes,Hand pump,Over a month,Yes,WASH management committee
North,Koinadugu,Dembelia-Sinkunia,Sinkunia,Alhaji Foday water well,private tap,Broken down,Seasonal,Yes,Private Individual,Privat owner,Unknown,No,,I don't know,,other
North,Tonkolili,Tane,Rokanigba,rokanigba water point,protec dug_well,Functional in use,Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,never broken,No,WASH management committee
North,Tonkolili,Kholifa Rowala,Mafanta,Mafanta,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,I don't know,Yes,WASH management committee
North,Bombali,Safroko Limba,Mangoreh,Mangoreh Community Well,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,No,No,Hand pump,Over a month,Yes,other
North,Koinadugu,Nieni,Funumbakura RC school,Hand dug well,protec dug_well,Functional NOT in use,Always water,No,School,School,No,No,Hand pump,never broken,No,School
North,Koinadugu,Nieni,Nieni kondabayia,Hand dug well,protec dug_well,Broken down,Dry always / Never water,No,Community,Other community group,No,No,Hand pump,More than a year,No,other
North,Bombali,Safroko Limba,Makaray,Makaray Community Well.2,unprotec dug_well,Broken down,Always water,No,Community,Other community group,No,No,"Hand manual (e.g. rope pump, rope & bucket)",I don't know,No,other
North,Port Loko,Dibia,Gbinti,School  well,protec dug_well,Functional in use,Seasonal,Yes,School,School,Yes,Yes,Hand pump,never broken,Yes,School
North,Koinadugu,Nieni,Funumbakoro,Stand pipe,public tap/kiosk,Functional but damaged,Seasonal,Yes,Community,Other community group,Yes,No,Gravity,Over a week,,other
North,Koinadugu,Mongo,Gberefeh,Farama road hand pump,protec dug_well,Functional but damaged,Always water,Yes,Community,Other community group,No,No,Hand pump,Over a month,Yes,other
North,Koinadugu,Kasunko,Fadugu,Katimbo,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,Yes,No,Hand pump,Over a month,Yes,other
North,Tonkolili,Kholifa Rowala,Town Field. Magbesseh Street,Town field water point,borewell,Broken down,Always water,Yes,Community,WASH management committee,Yes,Yes,Hand pump,never broken,Yes,WASH management committee
North,Tonkolili,Kholifa Mabang,mamayla gbla,community,protec dug_well,Functional NOT in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,Over a month,Yes,other
North,Port Loko,TMS,Maranka,Pa Salfu Kamara,protec dug_well,Functional NOT in use,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,I don't know,No,WASH management committee
North,Koinadugu,Kasunko,Kagbasia,Gbass l well,protec dug_well,Broken down,Always water,Yes,Community,Other community group,No,No,Hand pump,Over a week,No,other
North,Bombali,Biriwa,Maboli,Maboli Community Well,protec dug_well,under construction,Seasonal,Uknown,Community,Other community group,No,No,Hand pump,I don't know,No,other
North,Koinadugu,Nieni,Tilikoro,Hand dug well,unprotec dug_well,Broken down,Always water,No,School,School,Yes,No,No pump,More than a year,No,School
North,Koinadugu,Kasunko,Kamakomeh,community well,protec dug_well,Broken down,Seasonal,Yes,Community,Other community group,No,No,Hand pump,More than a year,No,other
North,Koinadugu, Wara Wara Bafodia,Bafofaia,Kasumaia,gravity_scheme,Functional in use,Always water,Yes,Community,Other community group,Yes,No,Gravity,Over a week,No,other
North,Bombali,Biriwa,Kayonkro,school pump,borewell,Functional in use,Seasonal,Yes,School,Uknown,No,No,Hand pump,never broken,Unkown,Uknown
North,Koinadugu,Sulima,Kaliyereh,Store well,protec dug_well,Functional in use,Seasonal,Yes,Health Facility,Other community group,Yes,No,Hand pump,Over a month,Yes,other
North,Port Loko,Kaffu Bullom,Rotifunk,private well,protec dug_well,Functional in use,Seasonal,Yes,Private Individual,Privat owner,Yes,Yes,Hand pump,Over a week,Yes,other
North,Koinadugu,Neya,Mansofiya,Private well,unprotec dug_well,Functional but damaged,Seasonal,No,Private Individual,No management,No,No,"Hand manual (e.g. rope pump, rope & bucket)",More than a year,No,No management
North,Port Loko,Buya Romende,Foredugu,Buya Road water Point,protec dug_well,Functional in use,Always water,Yes,Community,The Chief and other Community elders,Yes,No,Hand pump,More than a year,Yes,other
North,Koinadugu,Nieni,Komaron,Hand dug well,protec dug_well,Functional NOT in use,Always water,Yes,School,School,No,No,Hand pump,never broken,Yes,School
North,Port Loko,Lokomasama,Benkia yemp,Community Well,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,Yes,Yes,Hand pump,Over a week,Yes,other
North,Bombali,Sella Limba,Kamalainka,Kamalainka Com Well 2,borewell,Functional in use,Always water,Yes,Community,NGO,Yes,No,Hand pump,More than a year,No,NGO
North,Bombali,Sella Limba,Kasasi Mankoh.,Kasasi Mankoh Com well.,protec dug_well,Functional in use,Seasonal,Yes,Community,NGO,Yes,No,Hand pump,Over a week,Yes,NGO
North,Port Loko,Marampa,St Peter Street Lunsar,Cathalic junior Secondary school water point 2,public tap/kiosk,Functional NOT in use,Always water,Yes,School,School,No,Yes,tap,Over a month,,School
North,Koinadugu,Diang,Dondoya,Stand pipe,gravity_scheme,Broken down,Seasonal,Yes,Community,Other community group,No,No,Gravity,More than a year,No,other
North,Koinadugu,Neya,Fayimbakondeya,Running Stream,surface_water,Functional in use,Seasonal,Yes,Community,No management,No,No,,,,No management
North,Bombali,Sella Limba,Kagberay Bonkapr,Kagberay Bonkapr com well 2,protec dug_well,Broken down,Dry always / Never water,Uknown,Community,NGO,Unknown,Yes,Hand pump,More than a year,Unkown,NGO
North,Port Loko,Marampa,Mapolo Section,RC Boys Lunsar water well1,protec dug_well,Functional in use,Seasonal,Yes,School,School,Yes,Yes,Hand pump,never broken,No,School
North,Port Loko,Kaffu Bullom,Royeama,private well,protec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",I don't know,Yes,other
North,Koinadugu,Nieni,Sumbaria,Private well,unprotec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,No,No,"Hand manual (e.g. rope pump, rope & bucket)",Over a month,No,other
North,Port Loko,Dibia,karene village,Community well,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,Yes,Yes,Hand pump,More than a year,No,other
North,Bombali,Biriwa,Kabaka,Kabaka Community well,protec dug_well,Functional in use,Seasonal,Yes,Community,NGO,No,No,Hand pump,Over a month,No,NGO
North,Bombali,Sella Limba,Kamakwie 1,Kamakwie chp well.,protec dug_well,Functional in use,Seasonal,Yes,Health Facility,Health Facility,No,No,Hand pump,Over a month,Yes,Health Facility
North,Koinadugu,Nieni,Alikalia,Hand dug well,protec dug_well,Functional NOT in use,Always water,Uknown,School,NGO,Yes,No,Hand pump,More than a year,No,NGO
North,Tonkolili,Yoni,mile 91,community,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,Less than a week,Yes,other
North,Port Loko,Marampa,Robaka Junction,A.D Wurie Memorial Secondary School water well1,protec dug_well,Functional in use,Seasonal,Yes,School,School,Yes,No,Hand pump,never broken,Yes,School
North,Bombali,Sella Limba,Kamakuyor,Kamakuyor Community well.,protec dug_well,Functional NOT in use,Dry always / Never water,Yes,Community,NGO,Yes,Yes,Hand pump,Over a month,Yes,NGO
North,Bombali,Sella Limba,Kateneh,Kateneh com well.,protec dug_well,Functional in use,Seasonal,Yes,Community,NGO,Yes,Yes,Hand pump,Over a week,Yes,NGO
North,Bombali,Biriwa,Kamahera,Kamahera Community Well,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,Over a month,No,WASH management committee
North,Port Loko,Lokomasama,Mana 1,Community well,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,No,Yes,Hand pump,never broken,No,other
North,Port Loko,Dibia,Rotain,school well,protec dug_well,Broken down,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,More than a year,Yes,WASH management committee
North,Koinadugu,Nieni,Mangay,Hand dug well,protec dug_well,Broken down,Seasonal,No,School,School,No,No,Hand pump,More than a year,No,School
North,Port Loko,TMS,Gbaray bana,Salieu Kamara compound pump,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,never broken,Yes,WASH management committee
North,Port Loko,Lokomasama,mapang,community well,protec dug_well,Functional in use,Always water,Yes,Community,WASH management committee,Yes,Yes,Hand pump,Over a week,Yes,WASH management committee
North,Koinadugu,Mongo,Kombili,R.C.Primary school Kombili hand pump,protec dug_well,Broken down,Seasonal,No,School,School,Yes,No,Hand pump,More than a year,No,School
North,Bombali,Sanda Loko,madina fallah,hand pump,protec dug_well,Broken down,Dry always / Never water,No,Health Facility,Health Facility,Yes,No,Hand pump,Over a month,No,Health Facility
North,Port Loko,TMS,Konsho,Ya. Iyie Sanda Compound,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,never broken,Yes,WASH management committee
North,Koinadugu,Nieni,Firawa,Firawa well,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,Over a month,No,other
North,Port Loko,Kaffu Bullom,Robis,school well,borewell,Functional in use,Always water,Yes,School,WASH management committee,Yes,Yes,Hand pump,Over a month,Yes,WASH management committee
North,Port Loko,Maforki,Rogbare Junction,Freetown road market water point,protec dug_well,Functional in use,Seasonal,Yes,Community,Comunity Leaders,No,No,Hand pump,Less than a week,No,other
North,Port Loko,Kaffu Bullom,Robis,community well,protec dug_well,Functional NOT in use,Seasonal,Yes,Community,Privat owner,No,Yes,Hand pump,Over a month,Yes,other
North,Koinadugu, Wara Wara Yagala,Yataya,Fofonah compound well,protec dug_well,Broken down,Seasonal,Yes,Community,Other community group,Yes,Yes,Hand pump,Over a month,No,other
North,Port Loko,TMS,Community Health Post Robanka,Robaka Community health post water pump,protec dug_well,Functional NOT in use,Seasonal,Yes,Health Facility,WASH management committee,Yes,Yes,Hand pump,never broken,Yes,WASH management committee
North,Koinadugu,Mongo,Gberefeh,Yirraya,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,Over a month,Yes,other
North,Koinadugu,Nieni,Bandakarifya,Bandakarifya community well,borewell,Functional in use,Always water,Yes,Community,Other community group,No,No,Hand pump,never broken,No,other
North,Tonkolili,Tane,rosint,rosint water point,protec dug_well,Functional in use,Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,never broken,No,WASH management committee
North,Koinadugu, Folosaba Dembelia,Dogoloia,zone two well,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,Over a month,Yes,other
North,Port Loko,Buya Romende,Gbombroum,Mamie Doris Kargbo,protec dug_well,under construction,Seasonal,Yes,Private Individual,Uknown,No,No,Hand pump,More than a year,No,Uknown
North,Port Loko,Sanda Magbolont,Mayama,St. Joseph R C Primary Wayer Point Mayama,protec dug_well,under rehabilitation,Seasonal,Yes,School,Privat owner,No,No,Hand pump,I don't know,No,other
North,Koinadugu,Nieni,Funumbakoro,Stand pipe,public tap/kiosk,Functional but damaged,Seasonal,Yes,Community,Other community group,Yes,No,Gravity,Over a month,,other
North,Port Loko,Dibia,Rotain,community well,protec dug_well,Broken down,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Hand pump,More than a year,Yes,WASH management committee
North,Bombali,Sanda Tendaran,Mateti,School pump,borewell,Functional but damaged,Seasonal,Yes,School,WASH management committee,Yes,Yes,"Hand manual (e.g. rope pump, rope & bucket)",Over a month,No,WASH management committee
