Region,District,Chiefdom,Section,wp name,wp type,wp_func,wp_susta,wp_suita,ownership,maintenance,WASH comm,decl_ODF,extrac_type,time_repair,chlorination,maint_con
East,Kono,Gorama Kono,Kangama Gorama,Public Stand post,public tap/kiosk,Functional NOT in use,Always water,Yes,GUMA,Other community group,No,No,Gravity,Over a week,,other
East,Kenema,Kenema City,Nyandeyama,Fofanah pump,private tap,Functional but damaged,Seasonal,Yes,Private Individual,Privat owner,No,Don't know,,Over a week,,other
East,Kenema,Kenema City,Nyandeyama,Gravity,private tap,Functional in use,Seasonal,Yes,Private Individual,Privat owner,Unknown,Yes,,Over a month,,other
East,Kailahun,Yawei,Gbagema Yawei,Gbuja,public tap,Functional in use,Always water,Yes,Community,Other community group,No,No,,never broken,,other
East,Kono,Tankoro,Resattument Koidu,Resattument water well,protec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,No,Yes,Hand pump,never broken,No,other
East,Kono,Lei,Kombayendeh,Tap,public tap/kiosk,Broken down,Dry always / Never water,No,Community,WASH management committee,Yes,No,Gravity,More than a year,,WASH management committee
East,Kailahun,Mandu,Mobai,Mobai water point,private tap,Broken down,Seasonal,Yes,Community,Other community group,Yes,Don't know,,More than a year,,other
East,Kailahun,Jawie,Wulloh,School well,protec dug_well,under construction,Seasonal,Yes,School,School,No,No,Hand pump,I don't know,No,School
East,Kono,Mafindor,Yardu Village,RC School  Yardu,protec dug_well,Functional NOT in use,Seasonal,No,School,School,No,No,Hand pump,never broken,Yes,School
East,Kono,Fiama,njagbwema fiama,public stand pipe,public tap/kiosk,Functional in use,Always water,Yes,Community,NGO,No,Yes,Gravity,Less than a week,,NGO
East,Kono,Fiama,njagbwema fiama,hand dug well,protec dug_well,Broken down,Always water,Yes,Community,Other community group,No,Yes,Hand pump,Over a month,Yes,other
East,Kono,Nimikoro,wandeh,bore hole,borewell,under construction,Dry always / Never water,Uknown,Community,SALWACO,Yes,Yes,Hand pump,never broken,No,SALWACO
East,Kono,Nimikoro,jiama,public stand pipe,public tap/kiosk,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Gravity,More than a year,,WASH management committee
East,Kono,Nimikoro,jaiama nimikoro,public Stand post,public tap/kiosk,Broken down,Always water,Yes,Community,community people,No,No,Gravity,Over a month,,Community
East,Kono,Nimikoro,Yengema,public Stand post,public tap/kiosk,Broken down,Dry always / Never water,Yes,Community,community people,No,No,Gravity,More than a year,,Community
East,Kailahun,Kissi Tongi,Buedu,Islamic Secondaryschool Water Point,unprotec dug_well,Broken down,Seasonal,Yes,Community,Other community group,No,No,Hand pump,Over a month,No,other
East,Kailahun,Mandu,Taway,Taway water point,protec dug_well,Functional in use,Seasonal,Yes,Private Individual,Privat owner,Unknown,Don't know,Hand pump,never broken,Yes,other
East,Kono,Fiama,Bombodu,Hand Dug Well,protec dug_well,Functional in use,Seasonal,Yes,Community,Community,No,No,Hand pump,I don't know,Yes,Community
East,Kailahun,Kissi Tongi,Buedu,Launla Street Water Point,protec dug_well,Broken down,Seasonal,Yes,Community,Other community group,No,No,Hand pump,More than a year,No,other
East,Kailahun,Malema,jojoima,jojoima,public tap/kiosk,Functional in use,Seasonal,Yes,Community,Other community group,Yes,No,Gravity,never broken,,other
East,Kono,Nimikoro,Ngaya,Hand dug well,borewell,Broken down,Dry always / Never water,Yes,Community,No management,No,No,Hand pump,Over a month,No,No management
East,Kono,Nimikoro,Ngaya,Hand dug well,borewell,Functional in use,Seasonal,Yes,School,School,No,Don't know,Hand pump,Over a week,Yes,School
East,Kono,Koidu City,Gbense Sinnah town,hand  dug well,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,No,No,Hand pump,Over a week,Yes,other
East,Kailahun,Kissi Kama,Dambo,Dombie Spring,spring_protec,Functional in use,Always water,Yes,Community,WASH management committee,Yes,No,,More than a year,,WASH management committee
East,Kono,Nimikoro,Ngaya,Hand dug well,protec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,No,Don't know,"Hand manual (e.g. rope pump, rope & bucket)",never broken,Yes,other
East,Kailahun,Penguia,Salema Ester,Yiekima W,surface_water,Functional in use,Always water,Yes,Community,No management,No,No,,,,No management
East,Kono,Nimiyama,Masingbi  Road,Chief  compound,private tap,Functional in use,Seasonal,Yes,Private Individual,Privat owner,Yes,Yes,,Over a week,,other
East,Kenema,Kenema City,nyandeyama,kamara compound water well,unprotec dug_well,Functional in use,Seasonal,Yes,Private Individual,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",Over a month,Yes,other
East,Kono,Nimikoro,Njala,public Stand post,public tap/kiosk,Functional in use,Always water,Yes,Community,Other community group,No,No,Gravity,never broken,,other
East,Kailahun,Kpeje West,Bunubu two-dimensional,Piniyama Water Well,unprotec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,No,No,"Hand manual (e.g. rope pump, rope & bucket)",I don't know,No,other
East,Kono,Sandor,police station,police  station.,private tap,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,,Less than a week,,WASH management committee
East,Kenema,Malegohun,Gbogboma,Maleh Stream Water,surface_water,Functional in use,Always water,Yes,Community,Uknown,No,No,,,,Uknown
East,Kenema,Kenema City,Lekpetieh,John E Konneh,private tap,Functional in use,Always water,Yes,Private Individual,SALWACO,Yes,No,,never broken,,SALWACO
East,Kono,Koidu City,Koidu,Hand dug well,protec dug_well,Broken down,Seasonal,Yes,Community,No management,Unknown,Don't know,Hand pump,Over a month,Unkown,No management
East,Kono,Koidu City,Koidu,Hand dug well,protec dug_well,Functional in use,Seasonal,Yes,Community,No management,Unknown,Don't know,Hand pump,Over a month,Yes,No management
East,Kailahun,Penguia,woroma,Malukie Water Well,surface_water,Functional in use,Always water,Yes,Community,Other community group,No,No,,,,other
East,Kono,Gbane,Wugbadu Village,Community  Tank,gravity_scheme,Broken down,Always water,Yes,Community,Other community group,No,No,Gravity,More than a year,Yes,other
East,Kono,Gbane,Mbaoma Village,Community  Stand Tap,gravity_scheme,Functional in use,Always water,Yes,Community,Other community group,No,Yes,Gravity,never broken,Yes,other
East,Kailahun,Dea,Baiwalla,baiwalla,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,Yes,No,Hand pump,Over a month,No,other
East,Kono,Gbense,Bona Street,Turay Compund,protec dug_well,Functional in use,Always water,No,Private Individual,Privat owner,Yes,Yes,"Hand manual (e.g. rope pump, rope & bucket)",I don't know,Yes,other
East,Kono,Gorama Kono,Kangama,Public Stand post,public tap/kiosk,Functional NOT in use,Always water,Yes,Community,Other community group,No,Yes,Gravity,Over a week,,other
East,Kailahun,Kissi Tongi,Makpadu,Makpadu Water Point,unprotec dug_well,Functional in use,Always water,Yes,Community,Other community group,No,No,Gravity,I don't know,No,other
East,Kono,Gorama Kono,Kangama,Public Stand post,public tap/kiosk,Functional NOT in use,Always water,Yes,Community,Other community group,No,No,Gravity,Less than a week,,other
East,Kenema,Dodo,Dodo,Dodo Community Tap,gravity_scheme,Functional in use,Dry always / Never water,Yes,Community,WASH management committee,Yes,Yes,,,,WASH management committee
East,Kailahun,Kissi Tongi,Bayama Komende,Bayama Komende waterpoint,rainwater_harvesting,Functional in use,Seasonal,Yes,Community,Other community group,Yes,No,,Over a month,,other
East,Kono,Nimikoro,Yengema,Hand dug well,borewell,Functional in use,Always water,Yes,Other Institution,Other Institution,No,No,Hand pump,never broken,Yes,Other Institution
East,Kono,Tankoro,Koquima Community Health Centre,HelthCentre Pump,protec dug_well,Functional in use,Seasonal,Yes,Health Facility,Health Facility,Yes,Yes,Hand pump,never broken,Yes,Health Facility
East,Kailahun,Mandu,Ngeihun,community well,protec dug_well,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,Over a week,No,WASH management committee
East,Kono,Tankoro,Resleatument,Community Well,protec dug_well,Functional in use,Dry always / Never water,Yes,Community,WASH management committee,Yes,Yes,Hand pump,Over a month,No,WASH management committee
East,Kailahun,Dea,Dodo,communty pump,protec dug_well,Broken down,Seasonal,Yes,Community,Other community group,No,No,Hand pump,More than a year,No,other
East,Kailahun,Kissi Teng,Fodedu,Fodedu,protec dug_well,under construction,Dry always / Never water,Yes,Community,Uknown,Unknown,No,Hand pump,never broken,No,Uknown
East,Kono,Nimikoro,Jaiama,Stand Post,public tap/kiosk,Functional in use,Always water,Yes,Community,Community,No,No,Gravity,Over a month,,Community
East,Kono,Fiama,Tuiyor,hand dug well,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,No,Yes,Hand pump,Less than a week,Yes,other
East,Kono,Nimikoro,Jaiama Nimikoro,Public Stand Post,public tap/kiosk,Functional in use,Seasonal,Yes,Community,Other community group,No,Don't know,Gravity,Over a week,,other
East,Kono,Nimikoro,Jaiama Nimikoro,Public Stand Post,public tap/kiosk,Functional in use,Always water,Yes,Community,Other community group,No,Don't know,Gravity,Over a month,,other
East,Kono,Gbane Kandor,Fanda Viĺlage,Strime,surface_water,under rehabilitation,Seasonal,Yes,Community,No management,No,No,,,,No management
